"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.alloc.rate","avgt",1,5,58.474910,1.323514,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.alloc.rate.norm","avgt",1,5,3200208.820513,3.829064,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.count","avgt",1,5,3.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.time","avgt",1,5,6.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone","avgt",1,5,0.005129,0.000020,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.alloc.rate","avgt",1,5,5957.086447,22.698200,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.alloc.rate.norm","avgt",1,5,32040.017772,0.000241,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.count","avgt",1,5,131.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.time","avgt",1,5,93.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone","avgt",1,5,0.076051,0.001347,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.alloc.rate","avgt",1,5,4012.873926,71.638026,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.alloc.rate.norm","avgt",1,5,320040.264298,0.004206,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.count","avgt",1,5,122.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.time","avgt",1,5,88.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone","avgt",1,5,1.059346,0.011064,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.alloc.rate","avgt",1,5,2880.449626,30.202384,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.alloc.rate.norm","avgt",1,5,3200043.659487,0.037514,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.count","avgt",1,5,72.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapClone:gc.time","avgt",1,5,68.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable","avgt",1,5,0.142033,0.000614,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.alloc.rate","avgt",1,5,215.098803,0.936118,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.alloc.rate.norm","avgt",1,5,32040.493185,0.021336,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.count","avgt",1,5,10.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.time","avgt",1,5,12.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable","avgt",1,5,2.105826,0.005855,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.alloc.rate","avgt",1,5,144.921378,0.403280,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.alloc.rate.norm","avgt",1,5,320047.303016,0.252054,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.count","avgt",1,5,7.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.time","avgt",1,5,6.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable","avgt",1,5,43.194999,6.185965,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.alloc.rate","avgt",1,5,70.721500,9.693496,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.alloc.rate.norm","avgt",1,5,3200186.997614,22.551069,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.count","avgt",1,5,4.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.treapFromIterable:gc.time","avgt",1,5,7.000000,NaN,"ms",100000
