"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p1.00","sample",1,1,21536.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete","sample",1,215515,122.651746,1.947509,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:017      cpu_core/branch-misses/          #      0.0 %  branch_miss_rate         (10.79%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:623      cpu_core/L1-dcache-load-misses/  #      nan %  l1d_miss_rate            (10.50%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,497.977231,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,124.154539,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.082914,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.002230,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.020929,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.000392,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.005158,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/branch-misses/","sample",1,1,0.053540,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/branches/","sample",1,1,504.667210,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/cycles/","sample",1,1,347.918937,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000600,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-loads/","sample",1,1,500.670461,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.001463,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-stores/","sample",1,1,124.535075,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000656,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/instructions/","sample",1,1,1920.083977,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.alloc.rate","sample",1,5,671.694503,24.172282,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.alloc.rate.norm","sample",1,5,64.008191,0.002752,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.count","sample",1,5,3.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.time","sample",1,5,7.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.00","sample",1,1,102.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.50","sample",1,1,110.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.90","sample",1,1,132.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.95","sample",1,1,135.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.99","sample",1,1,153.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.999","sample",1,1,2809.296000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.9999","sample",1,1,12220.697600,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p1.00","sample",1,1,27584.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete","sample",1,387061,128.547658,1.653196,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:191      cpu_core/L1-dcache-load-misses/  #      nan %  l1d_miss_rate            (10.47%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,550.744309,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,198.594318,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.086107,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.002336,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.027884,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.000459,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.010439,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/branch-misses/","sample",1,1,0.332468,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/branches/","sample",1,1,510.082198,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/cycles/","sample",1,1,386.991677,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000910,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-loads/","sample",1,1,553.566626,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.001531,NaN,"#/op",10000
