"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/cycles/","sample",1,1,343.834165,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000815,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-loads/","sample",1,1,497.096493,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.000747,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/dTLB-stores/","sample",1,1,129.059994,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000581,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/instructions/","sample",1,1,1957.075623,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.alloc.rate","sample",1,5,679.932646,9.658150,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.alloc.rate.norm","sample",1,5,64.008181,0.004570,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.count","sample",1,5,3.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:gc.time","sample",1,5,6.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.00","sample",1,1,105.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.50","sample",1,1,111.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.90","sample",1,1,129.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.95","sample",1,1,131.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.99","sample",1,1,163.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.999","sample",1,1,3503.760000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p0.9999","sample",1,1,12480.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:p1.00","sample",1,1,35840.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete","sample",1,279631,95.255272,2.052161,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:048      cpu_atom/LLC-loads/              #      0.4 %  llc_miss_rate            (0.25%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:732      cpu_atom/dTLB-loads/             #      0.0 %  dtlb_miss_rate           (0.22%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:750      cpu_core/LLC-loads/              #     30.5 %  llc_miss_rate            (7.20%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:926      cpu_atom/cpu-cycles/             #      1.2 GHz  cycles_frequency       (0.31%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/L1-dcache-loads/","sample",1,1,7.699169,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/L1-dcache-stores/","sample",1,1,32.711677,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/L1-icache-load-misses/","sample",1,1,0.224046,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/LLC-load-misses/","sample",1,1,0.000000,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/LLC-loads/","sample",1,1,0.029350,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/branch-misses/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/branches/","sample",1,1,43.937102,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/cycles/","sample",1,1,53.690447,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/dTLB-load-misses/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/dTLB-loads/","sample",1,1,52.487165,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/dTLB-store-misses/","sample",1,1,0.000175,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/dTLB-stores/","sample",1,1,19.776742,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.treapInsertDelete:cpu_atom/iTLB-load-misses/","sample",1,1,0.004874,NaN,"#/op",10000
